Time,RTT,No.,Source,Destination,Protocol,Length,Info,Country,Region,City,Org,Longitude,Latitude,Connection,Label
2024-07-07 23:13:59,28.00925925925926,524810,162.249.72.5,192.168.8.134,UDP,381,7114  >  63220 Len=339,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:00,27.85245901639344,524988,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:01,28.06140350877193,525154,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:02,27.95689655172414,525335,162.249.72.5,192.168.8.134,UDP,143,7114  >  63220 Len=101,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:03,28.16393442622951,525469,192.168.8.134,162.249.72.5,UDP,82,63220  >  7114 Len=40,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:04,28.0,525598,162.249.72.5,192.168.8.134,UDP,187,7114  >  63220 Len=145,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:05,27.90370370370371,525718,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:06,28.0,525880,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:07,28.03787878787879,526011,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:08,27.94936708860759,526184,192.168.8.134,162.249.72.5,UDP,94,63220  >  7114 Len=52,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:09,28.08620689655172,526409,162.249.72.5,192.168.8.134,UDP,302,7114  >  63220 Len=260,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:10,27.91666666666667,526547,162.249.72.5,192.168.8.134,UDP,516,7114  >  63220 Len=474,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:11,27.89565217391304,526749,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:12,28.00847457627119,526970,162.249.72.5,192.168.8.134,UDP,239,7114  >  63220 Len=197,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:13,28.11811023622047,527139,162.249.72.5,192.168.8.134,UDP,216,7114  >  63220 Len=174,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:14,28.0,527313,162.249.72.5,192.168.8.134,UDP,121,7114  >  63220 Len=79,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:15,28.10569105691057,527485,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:16,27.93162393162393,527672,192.168.8.134,162.249.72.5,UDP,85,63220  >  7114 Len=43,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:17,27.94827586206896,527847,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:18,27.76271186440678,527970,162.249.72.5,192.168.8.134,UDP,68,7114  >  63220 Len=26,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:19,27.99193548387097,528090,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:20,27.93913043478261,528241,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:21,28.13076923076923,528382,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:22,28.02830188679245,528516,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:23,27.85365853658537,528636,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:24,28.06666666666667,528807,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:25,28.125,528977,192.168.8.134,162.249.72.5,UDP,115,63220  >  7114 Len=73,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:26,27.8955223880597,529176,162.249.72.5,192.168.8.134,UDP,654,7114  >  63220 Len=612,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:27,27.95762711864407,529360,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:28,27.87301587301587,529506,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:29,27.99107142857143,529667,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:30,27.95161290322581,529808,192.168.8.134,162.249.72.5,UDP,77,63220  >  7114 Len=35,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:31,28.16806722689076,529954,192.168.8.134,162.249.72.5,UDP,77,63220  >  7114 Len=35,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:32,28.02459016393443,530181,162.249.72.5,192.168.8.134,UDP,369,7114  >  63220 Len=327,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:33,28.13385826771654,530395,192.168.8.134,162.249.72.5,UDP,103,63220  >  7114 Len=61,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:34,28.128,530536,192.168.8.134,162.249.72.5,UDP,89,63220  >  7114 Len=47,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:35,28.18181818181818,530672,192.168.8.134,162.249.72.5,UDP,94,63220  >  7114 Len=52,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:36,27.96946564885496,530824,192.168.8.134,162.249.72.5,UDP,94,63220  >  7114 Len=52,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:37,27.86842105263158,531017,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:38,28.00769230769231,531185,162.249.72.5,192.168.8.134,UDP,319,7114  >  63220 Len=277,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:39,27.859375,531376,162.249.72.5,192.168.8.134,UDP,325,7114  >  63220 Len=283,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:40,28.11666666666667,531548,192.168.8.134,162.249.72.5,UDP,102,63220  >  7114 Len=60,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:41,27.92660550458715,531704,162.249.72.5,192.168.8.134,UDP,411,7114  >  63220 Len=369,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:42,27.82677165354331,531853,162.249.72.5,192.168.8.134,UDP,61,7114  >  63220 Len=19,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:43,27.95967741935484,532028,192.168.8.134,162.249.72.5,UDP,73,63220  >  7114 Len=31,GB,Greater London,London,BT,51.51930410613738,-0.1265381171205353,ADSL,LOL
2024-07-07 23:14:44,28.05970149253731,532153,162.249.72.5,192.168.8.134,UDP,403,7114  >  63220 Len=361,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:45,28.08270676691729,532299,162.249.72.5,192.168.8.134,UDP,402,7114  >  63220 Len=360,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
2024-07-07 23:14:46,27.97345132743363,532448,162.249.72.5,192.168.8.134,UDP,227,7114  >  63220 Len=185,US,California,Los Angeles,"AS6507 Riot Games, Inc",-118.4487,34.0447,ADSL,LOL
